titolo;descrizione;indirizzo;max_persone;metratura;proprietario;servizi;foto_url
Bilocale centrale a Mezzane;Appartamento in posizione strategica con cucina moderna e balcone. Ottimo investimento.;357;6;143;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Casa indipendente a Gnocchetto;Villetta con ampio giardino e terrazzo. Zona tranquilla e panoramica.;358;6;65;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Quadrilocale a San Pietro Vernotico;Ampio appartamento con doppi servizi e cucina abitabile. Ottima esposizione e luminosità.;359;7;114;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Trilocale accogliente a San Pietro In Guarano;Appartamento con soggiorno ampio e balcone. Vicino ai principali servizi.;360;1;69;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Bilocale con terrazzo a Messina;Appartamento luminoso con ampia zona giorno e terrazzo panoramico. Ideale per giovani coppie.;361;5;70;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Casa tradizionale a Mamoiada;Affascinante abitazione con dettagli rustici e ampio cortile. Perfetta per chi cerca autenticità.;362;7;36;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Attico panoramico a Fornoli;Ultimo piano con vista mozzafiato e terrazzo. Ottime finiture e grande luminosità.;363;6;28;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Trilocale moderno a Santa Maria La Stella;Appartamento ristrutturato con soggiorno open space e balcone. Posizione comoda.;364;10;28;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Bilocale accogliente a Cosio di Arroscia;Appartamento al piano terra con ingresso indipendente e piccolo giardino. Ideale per chi cerca tranquillità.;365;1;68;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Trilocale panoramico a Viggiano;Appartamento con vista sulle montagne, soggiorno ampio e cucina abitabile. Perfetto per famiglie.;366;8;115;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Appartamento luminoso a Summaga;Bilocale al primo piano con balcone e rifiniture moderne. Vicino ai servizi principali.;367;9;195;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Trullo ristrutturato ad Alberobello;Caratteristico trullo con interni moderni e giardino privato. Un perfetto mix tra tradizione e comfort.;368;6;24;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Casa indipendente a Casarile;Villetta con ampi spazi, giardino e garage. Zona tranquilla e ben collegata a Milano.;369;8;199;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Monolocale centrale a Manzi;Piccolo appartamento funzionale vicino a negozi e servizi. Ottimo come investimento.;370;4;82;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Quadrilocale spazioso ad Agira;Ampio appartamento con tre camere, due bagni e terrazzo panoramico. Ideale per famiglie numerose.;371;9;123;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Attico con terrazzo a Ospedaletto D'Alpinolo;Ultimo piano con grande terrazza e vista panoramica. Perfetto per chi ama la luce naturale.;452;10;53;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Appartamento moderno a Castelminio;Bilocale ristrutturato con soggiorno open space e balcone. Zona ben servita e residenziale.;372;6;178;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Trilocale con vista a Castelletto;Appartamento al terzo piano con doppi servizi e balcone. Ottima esposizione solare.;373;3;94;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Casa in pietra a Castelnuovo Belbo;Affascinante dimora con dettagli rustici, camino e giardino. Perfetta per chi ama il fascino storico.;374;3;170;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Attico elegante a Carzago della Riviera;Settimo piano con finiture di pregio, soggiorno luminoso e ampia terrazza. Vista mozzafiato.;375;5;42;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Villetta a Montenero di Bisaccia;Casa indipendente con giardino e veranda coperta. Ottima soluzione per chi ama gli spazi aperti.;376;1;167;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Trilocale con terrazzo a Colli di Fontanelle;Appartamento in zona collinare con vista panoramica e ampio soggiorno. Perfetto per il relax.;377;8;136;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Casa indipendente ad Arre;Villetta con giardino e garage, ideale per chi cerca tranquillità a pochi passi dalla città.;378;7;174;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Bilocale a Vicovaro;Appartamento moderno con soggiorno open space e cucina a vista. Ottima soluzione per giovani coppie.;379;2;37;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Rustico ristrutturato a Borgo Petilia;Dimora in pietra con soffitti in legno e camino. Immersa nel verde, perfetta per le vacanze.;380;4;43;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Quadrilocale spazioso a Rebibbia;Ampio appartamento con tre camere e doppi servizi. Vicino alla metro e ai principali servizi.;381;3;57;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Casa di campagna a Pogli;Rustico con ampi spazi, giardino e portico. Ideale per chi ama la natura e la tranquillità.;382;10;67;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Appartamento in montagna a Dimaro;Trilocale con balcone panoramico, perfetto per gli amanti dello sci e delle escursioni.;383;9;80;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Casa indipendente a Freto;Villetta con giardino privato e ampio soggiorno. Zona tranquilla, ideale per famiglie.;384;10;185;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Bilocale moderno a Seriate;Appartamento luminoso con soggiorno open space e balcone. Comodo ai servizi e ai trasporti.;385;7;142;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Trilocale accogliente a Calzolaro;Ampia zona giorno con cucina abitabile e due camere. In piccolo contesto residenziale.;386;9;100;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Rustico caratteristico a Priverno;Casa in pietra con soffitti in legno e camino. Immersa nella natura, perfetta per il relax.;387;1;160;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Chalet in montagna a Pescocostanzo;Caratteristico chalet con vista panoramica, camino e terrazzo. Ideale per vacanze invernali.;388;10;76;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Villa con terreno a Cornovecchio;Casa indipendente con ampi spazi interni ed esterni. Perfetta per chi cerca tranquillità.;389;3;158;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Attico panoramico a Laceno;Ultimo piano con terrazzo e vista mozzafiato. Rifiniture moderne e ottima esposizione.;390;1;114;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Trilocale con giardino a Santo Stefano di Magra;Appartamento al piano terra con spazio esterno privato. Zona residenziale silenziosa.;391;1;37;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Quadrilocale spazioso a Torino;Ampio appartamento con tre camere, soggiorno e cucina abitabile. Comodo ai mezzi pubblici.;392;6;106;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Casa su due livelli a Zibido San Giacomo;Abitazione con giardino privato, soggiorno con camino e cucina abitabile. Ideale per famiglie.;393;2;116;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Trilocale centrale a Brescia;Appartamento con finiture di pregio, ampie finestre e ottima esposizione. Posizione strategica.;394;8;132;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Bilocale ristrutturato a Zerbolò;Appartamento accogliente con balcone e zona giorno open space. In piccolo condominio.;446;8;169;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Monolocale funzionale a Torino;Piccolo ma ben distribuito, con cucina attrezzata e bagno moderno. Perfetto per investimento.;395;1;78;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Casa immersa nel verde a Ville di Lucoli;Abitazione indipendente circondata dalla natura, con ampio giardino e veranda.;396;7;128;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Trilocale con vista a Mazzarrà Sant'Andrea;Appartamento luminoso con balcone panoramico. Contesto tranquillo e ben servito.;447;8;142;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Bilocale accogliente a Casabianca;Piccolo appartamento ristrutturato con soggiorno e cucina a vista. Perfetto per single o coppie.;397;7;142;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Appartamento fronte mare a Francavilla al Mare;Trilocale con balcone vista mare, finiture moderne e accesso diretto alla spiaggia.;398;5;116;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Casa con giardino a Coverciano;Villetta con ampi spazi interni ed esterni. Zona residenziale tranquilla e ben servita.;399;2;38;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Quadrilocale ampio a Cilavegna;Appartamento con soggiorno spazioso, cucina abitabile e tre camere da letto. Ideale per famiglie.;400;4;38;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Trilocale luminoso a Resana;Appartamento con ottima esposizione, due camere e cucina abitabile. Posizione centrale e ben collegata.;401;7;151;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Appartamento a Pisa;Accogliente appartamento a Pisa, con soggiorno luminoso e cucina abitabile. Posizione centrale, vicino ai servizi.;402;4;166;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Appartamento a Stupinigi;Spazioso trilocale al nono piano con vista panoramica. Camere ampie e ben arredate, situato in una zona tranquilla.;403;7;143;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Casa a Terres;Abitazione immersa nel verde, ideale per chi cerca privacy e tranquillità. Ampio giardino e soggiorno con camino.;404;1;85;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Appartamento a Toritto;Bilocale ristrutturato in zona centrale, con angolo cottura e piccolo balcone. Perfetto per chi cerca una soluzione compatta.;405;7;87;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Trilocale a Baragiano Scalo;Appartamento con due camere, soggiorno e bagno. Ottima esposizione e vicino ai principali servizi della zona.;406;4;143;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Bilocale a Pietraperzia;Moderno bilocale con soggiorno open space e cucina a vista. Ottima soluzione per single o giovani coppie.;407;6;83;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Appartamento a Ospitaletto Mantovano;Ampio appartamento al quinto piano con due camere da letto, balcone e vista sulla città. Zona ben servita.;408;5;25;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Casa a Montagnana Pistoiese;Casa indipendente con giardino privato e spazio esterno. Perfetta per chi ama vivere in campagna, ma vicino ai servizi.;409;10;177;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Appartamento a Venezia Mestre;Bilocale recentemente ristrutturato, situato in zona ben collegata con il centro. Soggiorno luminoso e cucina separata.;410;4;130;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Trilocale a Pontelongo;Appartamento spazioso con soggiorno, cucina abitabile e due camere da letto. Zona tranquilla e ben servita.;411;5;104;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Casa a Pontestura;Casa indipendente con giardino e ampi spazi esterni. Posizione panoramica, ideale per chi cerca un posto tranquillo.;412;9;101;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Appartamento a San Rocco;Luminoso appartamento con due camere, soggiorno e cucina separata. Ottima posizione vicino ai mezzi pubblici.;413;2;190;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Appartamento a Lariano;Trilocale al piano terra con ampio giardino privato. Ottima soluzione per famiglie e per chi cerca una casa con spazi esterni.;414;1;121;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Bilocale a Torre De' Passeri;Piccolo appartamento al secondo piano, ideale per chi cerca una soluzione economica e funzionale.;448;5;138;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Casa a Trito;Casa con giardino privato, soggiorno con camino e cucina abitabile. Posizione tranquilla, perfetta per la vita familiare.;415;6;173;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Appartamento a Castiglion Fibocchi;Spazioso trilocale con ampio soggiorno, cucina abitabile e due camere. Vicino ai principali servizi e trasporti.;416;6;132;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Casa a Lapedona;Ampia casa indipendente con giardino, perfetta per chi cerca spazio e tranquillità in campagna.;417;5;70;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Appartamento a San Giovanni Incarico;Appartamento con due camere, soggiorno e cucina. Posizione centrale e comoda per famiglie e professionisti.;418;7;127;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Casa a San Rocco Al Porto;Rustico ristrutturato con ampio giardino e zona relax. Ottima per chi cerca un ambiente tranquillo e immerso nel verde.;419;2;26;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Appartamento ad Arpino;Luminoso appartamento con soggiorno, cucina separata e due camere da letto. Ottima posizione nel centro del paese.;420;1;130;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Trilocale a Sparanise;Appartamento luminoso con due camere e un ampio soggiorno. Zona tranquilla e ben collegata.;421;5;59;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Appartamento moderno a Mariano Comense;Trilocale con finiture moderne e balcone. Posizione centrale, comodo per i trasporti pubblici.;422;9;196;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Casa indipendente a Caspoli;Abitazione spaziosa con giardino e vista panoramica. Perfetta per famiglie alla ricerca di tranquillità.;423;2;34;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Bilocale a Flumignano;Appartamento al piano terra, con soggiorno e angolo cottura. Ottima soluzione per giovani coppie.;424;9;110;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Monolocale a Lesmo;Piccolo appartamento ristrutturato, con angolo cottura e zona notte separata. Perfetto per chi cerca un pied-à-terre.;425;3;78;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Appartamento a Padova;Trilocale al primo piano con soggiorno luminoso e cucina abitabile. Zona ben servita e a pochi passi dal centro.;426;3;144;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Bilocale a Cattolica Eraclea;Appartamento con camera matrimoniale, soggiorno e balcone. Posizione tranquilla e vicina ai principali servizi.;427;5;182;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Trilocale a Santa Maria Villiana;Appartamento con soggiorno, due camere da letto e balcone. Posizione tranquilla, ideale per famiglie.;428;5;38;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Casa indipendente a Boscochiaro;Rustico immerso nel verde con ampio giardino. Ottimo per chi cerca privacy e un'atmosfera rurale.;429;10;42;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Appartamento a Stienta;Luminoso bilocale con balcone e garage. Ottima soluzione per single o giovani coppie.;430;6;29;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Trilocale a Desana;Appartamento spazioso con due camere da letto, soggiorno e cucina separata. Zona residenziale tranquilla.;431;8;24;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Appartamento a Pietraperzia;Bilocale al piano terra con soggiorno e angolo cottura. Comodo per chi cerca una soluzione pratica e funzionale.;432;9;143;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Monolocale ad Arsoli;Appartamento piccolo ma ben organizzato, ideale per single. Vicino alla natura e al centro del paese.;433;7;31;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Appartamento a Ca' Della Terra;Bilocale al piano terra, con soggiorno e giardino privato. Ottima esposizione e zona tranquilla.;449;7;179;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Trilocale a Cadorago;Appartamento con tre camere da letto, soggiorno spazioso e ampio balcone. Posizione centrale e ben servita.;434;10;108;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Casa a Tuili;Abitazione indipendente con cortile privato e ottima privacy. Perfetta per chi ama la tranquillità.;435;1;168;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Trilocale a Casi;Appartamento ristrutturato con due camere e un soggiorno ampio. Zona residenziale ben servita.;436;3;154;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Casa a Trasanni;Rustico con giardino e garage. Perfetto per famiglie che cercano una casa immersa nella natura.;437;3;73;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Appartamento a San Giorgio A Cremano;Appartamento ristrutturato, con cucina abitabile e ampi spazi. Posizione comoda per tutti i servizi.;438;6;123;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Villa a Campodarsego;Casa indipendente con giardino e garage. Ottima posizione e grande potenziale per famiglie.;439;8;127;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Appartamento a Albavilla;Trilocale con cucina a vista, ampio soggiorno e due camere. Zona tranquilla con ottima esposizione solare.;440;5;117;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
